fund_id,greatstone_rating
85a6edf9-db47-490c-981a-168ce90434bb,4
654dac08-5e5d-4cf0-870e-3167087de7d2,2
75214019-f876-42a9-a316-328b759ac4ba,4
1fe8de6d-cd33-489e-a829-211f1f622eed,0
bd87a7a0-6ca5-4607-a0cf-d396ecd6037a,4
b8038c02-320a-448b-a67c-0d1e564da483,4
f26ddcde-461a-437f-90fa-d09df9cc9c14,3
bb34d6b2-e2e4-4326-8d6c-7026fbf8c787,2
5a4b1356-f0b7-47d6-8bb0-c96b7dcf1ef0,3
65a38cf4-971e-410a-b335-624752f3b8e1,3
afc3c5b6-2794-4122-805c-d138bcdd3d6f,2
0f724657-15f5-4299-a236-db22a89f9e16,0
b970945f-a0d7-4d0f-8d38-cec2e6867a46,3
bef9506f-0220-4152-8109-69858ce9314e,4
b9c75996-7a31-4301-9db9-4669dbae68ba,4
172e2dc9-60eb-42c0-bd08-22022e2e5d14,2
089b93ca-5ff8-4dac-ad44-8bcca71bad0d,3
76778472-9f95-4e71-9bc7-96ed85ea61c9,3
750b4112-79e2-4c42-b0ce-99e257e40d29,2
5642e852-696b-402e-a348-63240988d9e9,3
d270f50b-3ef0-4a18-9935-8ed01f2fb1c4,3
87ce2ab7-f96b-4aba-8af3-34cdd90e07e0,2
151384a8-0c73-487e-9a7e-1912840bfdab,3
b6efe6d9-c398-4256-a97c-fffc84375555,3
086dee83-2bb6-4c1a-a93d-5ff926ea1819,0
7dfe3d08-e319-42b4-b931-e4949178552f,2
cb0ade5a-d0b4-4df0-a5ab-ec9cbc3b18ee,2
aaa3893e-495f-44e9-9861-62cd8304d101,4
75ada20a-5300-4933-9928-d9e49a36f5ed,3
b3d6d272-1523-4149-98cc-24b003d0630b,2
e0a28240-6c6e-4a46-83c2-af410b2398b7,0
5a6e6b12-6f8b-47f1-8f26-2638b817ab70,5
833b3e5c-f32a-4bcb-890a-1b8034fe2dc8,4
178cddc0-c701-4076-a0da-5edcdf9c2ab6,1
01602d16-3817-4eb3-8652-a8fc64aeae39,5
b70ebad9-4209-4118-879a-c201d3c882a7,3
d95bf6cc-b0ab-4c59-b3d9-2514bf8d51c7,4
f7e9f732-54e6-4d1d-82f2-d21b9b214510,2
fea4a294-976a-4d13-8c3a-710651e8bca7,1
